Feature,FieldID,FieldName,Importance_cv0,Importance_cv1,Importance_cv2,Importance_cv3,Importance_cv4,Importance_cv5,Importance_cv6,Importance_cv7,Importance_cv8,Importance_cv9,Importance_cv,Importance_std
3526-0.0,3526,Mother's age at death,0.001201787,0.001355785,0.000742901,0.001566245,0.001004646,0.000921064,0.001456084,0.00109226,0.001564213,0.001249324,0.001215431,0.00027753
21000-0.0,21000,Ethnic background,0.000969599,0.001485049,0.001751124,0.001281462,0.001062219,0.000531389,0.000971294,0.001114869,0.001482115,0.001374194,0.001202332,0.000346437
20440-0.0,20440,Impact on normal roles during worst period of depression,0.000796197,0.0006028,0.001627214,0.002197252,0.001183331,0.000818033,0.000849831,0.001032782,0.001162685,0.001297664,0.001156779,0.00046972
1299-0.0,1299,Salad / raw vegetable intake,0.000380782,0.001444546,0.000638559,0.001600057,0.001945421,0.000923661,0.001250419,0.000709196,0.00096924,0.00147777,0.001133965,0.000490853
20453-0.0,20453,Ever taken cannabis,0.002033193,0.000671338,0.001169061,0.001492943,0.001312006,0.000684047,0.000677166,0.000733948,0.001055861,0.001455839,0.00112854,0.00045521
2050-0.0,2050,Frequency of depressed mood in last 2 weeks,0.001209435,0.001385946,0.00075342,0.001312399,0.001410169,0.001485795,0.00089147,0.000287233,0.000840077,0.001418993,0.001099494,0.00039121
20403-0.0,20403,Amount of alcohol drunk on a typical drinking day,0.001473379,0.001067895,0.000539301,0.000800618,0.001205089,0.001228543,0.001264804,0.001441713,0.001260394,0.000696968,0.00109787,0.000316941
20410-0.0,20410,Age when known person last commented about drinking habits,0.001173311,0.000720717,0.002517841,0.00060841,0.000860804,0.001164646,0.000819266,0.000608228,0.001037441,0.001318755,0.001082942,0.000560958
20496-0.0,20496,Felt distant from other people in past month,0.002001784,0.000421824,0.000806216,0.000957911,0.001279271,0.000395616,0.000779804,0.001087896,0.001785042,0.000941739,0.00104571,0.000524453
20449-0.0,20449,Feelings of tiredness during worst episode of depression,0.00160127,0.001234952,0.000660959,0.00123736,0.001014226,0.000698569,0.001404278,0.000649109,0.00084961,0.001074031,0.001042436,0.000329264
20414-0.0,20414,Frequency of drinking alcohol,0.000657025,0.000639726,0.001188997,0.001286866,0.000714549,0.001104917,0.001201814,0.000969032,0.001072042,0.001538151,0.001037312,0.000294485
757-0.0,757,Time employed in main current job,0.001493272,0.000884793,0.000813486,0.000606529,0.001934436,0.001410023,0.000967351,0.000784107,0.000774212,0.000610277,0.001027849,0.000438466
20116-0.0,20116,Smoking status,0.003562113,0.000540085,0.001149768,0.000701613,0.000246946,0.000989985,0.000620895,0.001023385,0.000243295,0.000766921,0.000984501,0.000955882
20434-0.0,20434,Age at last episode of depression,0.001173884,0.000899346,0.000671087,0.000870144,0.000778863,0.001083671,0.000907498,0.000881129,0.001426121,0.000801396,0.000949314,0.000220941
1488-0.0,1488,Tea intake,0.001529307,0.000949361,0.00043621,0.001142432,0.001322164,0.000809793,0.00081615,0.000653622,0.000869593,0.000852716,0.000938135,0.000318861
728-0.0,728,Number of vehicles in household,0.001519957,0.000990554,0.001679485,0.00076891,0.000503644,0.001207836,0.001013449,0.00098653,0.000139998,0.000514984,0.000932535,0.00047197
47-0.0,47,Hand grip strength (right),0.001035556,0.001176367,0.000783608,0.001127922,0.001234378,0.000950766,0.00070983,0.000364833,0.000656758,0.001058589,0.000909861,0.000274984
2110-0.0,2110,Able to confide,0.001010558,0.000688585,0.000277994,0.00098964,0.000974492,0.001101351,0.000778048,0.001520364,0.000490128,0.001010013,0.000884117,0.000345645
20462-0.0,20462,Distress caused by unusual or psychotic experiences,0.000681498,0.001028479,0.000591812,0.000984716,0.001132569,0.001360864,0.000628932,0.000712208,0.000589549,0.000857225,0.000856785,0.000262714
20466-0.0,20466,Ever prescribed a medication for unusual or psychotic experiences,0.000332243,0.001002695,0.000666516,0.000828314,0.00095861,0.000853813,0.000956117,0.000650978,0.000633478,0.001281418,0.000816418,0.000260327
20546-0.0-3,20546,Drugs or alcohol  taken for depression,0.00054827,0.000541225,0.001308608,0.001095057,0.000858676,0.001011301,0.000391715,0.000688505,0.000711672,0.000870519,0.000802555,0.000282056
20411-0.0,20411,Ever been injured or injured someone else through drinking alcohol,0.000586436,0.001026318,0.000421109,0.001456342,0.000366376,0.001032948,0.000913316,0.000673,0.001255099,0.00017832,0.000790927,0.000413013
4079-0.0,4079,"Diastolic blood pressure, automated reading",0.001088319,0.000775805,0.00081386,0.000818855,0.000708905,0.000229258,0.000937166,0.000588123,0.000988672,0.000887345,0.000783631,0.000240961
2966-0.0,2966,Age high blood pressure diagnosed,0.00096956,0.000518732,0.000723522,0.000870162,0.000458539,0.000882593,0.000559418,0.000720873,0.001206859,0.000825355,0.000773561,0.000227396
20160-0.0,20160,Ever smoked,0.000592844,0.000572776,0.001244894,0.000781112,0.001334289,0.000733759,0.001026234,0.000370799,0.000493548,0.000464256,0.000761451,0.000334972
20524-0.0,20524,Sexual interference by partner or ex-partner without consent as an adult,0.000310793,0.000902081,0.000625347,0.000855543,0.001531378,0.000247277,0.000562326,0.00062918,0.001116854,0.000672341,0.000745312,0.000379503
3456-0.0,3456,Number of cigarettes currently smoked daily (current cigarette smokers),0.000897509,0.000370012,0.001487978,0.00072151,0.00045356,0.000715571,0.000456181,0.000967947,0.000548536,0.000757529,0.000737633,0.000328901
2090-0.0,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",0.000569764,0.000722994,0.000296171,0.002904814,0.000346403,0.000513188,0.000425728,0.000659309,0.000106346,0.000785886,0.00073306,0.000790742
22040-0.0,22040,Summed MET minutes per week for all activity,0.001208207,0.000447192,0.000896357,0.000609917,0.000884652,0.00049064,0.000961387,0.000359358,0.000388009,0.000785879,0.00070316,0.000285921
1369-0.0,1369,Beef intake,0.002175173,0.000502394,0.001317717,0.000838286,0.000549572,0.000324897,0.000281213,0.000189892,0.000528157,0.000312334,0.000701964,0.000614146
4288-0.0,4288,Time to answer,0.000923382,0.000688538,0.000701927,0.000498945,0.001319989,0.000554255,0.000459119,0.000680948,0.000462875,0.000600402,0.000689038,0.000262344
20127-0.0,20127,Neuroticism score,0.000587348,0.000789537,0.000345727,0.000420624,0.001090469,0.000913553,0.000642627,0.000671959,0.000382499,0.000830405,0.000667475,0.000243505
1807-0.0,1807,Father's age at death,0.000535421,0.000739597,0.00057779,0.000538348,0.00091517,0.000854554,0.000532587,0.000737033,0.000562667,0.000548712,0.000654188,0.000145322
670-0.0,670,Type of accommodation lived in,0.000186312,0.000402398,0.001278887,0.001106669,0.000274542,0.000487229,0.00046507,0.000267829,0.000847592,0.00121531,0.000653184,0.000419867
767-0.0,767,Length of working week for main job,0.000432786,0.000491129,0.000957851,0.000505693,0.001304999,0.000695225,0.000402365,0.000822167,0.000481561,0.000434856,0.000652863,0.000295264
1835-0.0,1835,Mother still alive,0.000499023,0.000343056,0.001016546,0.000453292,0.000598256,5.33E-05,0.000625319,0.00079067,0.001093238,0.000747003,0.000621967,0.000310418
1329-0.0,1329,Oily fish intake,0.000794499,0.000790055,0.000740583,0.000466207,0.00102475,0.000450239,0.000365777,0.000505731,0.000395749,0.000677017,0.000621061,0.000216389
20526-0.0,20526,Been in serious accident believed to be life-threatening,0.000278229,0.000964313,0.000422905,0.0008883,0.000646032,7.72E-05,0.000920555,0.000703883,0.000504735,0.000772998,0.000617915,0.000293546
23100-0.0,23100,Whole body fat mass,0.000716588,0.0007232,0.000552858,0.000417037,0.000332465,0.000874467,0.000471154,0.000564718,0.000689219,0.00075808,0.000609979,0.000170351
709-0.0,709,Number in household,0.000663316,0.0004621,0.000842536,0.000436184,0.000700681,0.000349862,0.000443019,0.000503393,0.000784569,0.000835208,0.000602087,0.000184002
23104-0.0,23104,Body mass index (BMI),0.000899172,0.000650162,0.000706916,0.000520203,0.000496136,0.00050909,0.000497634,0.000640452,0.000534404,0.000531295,0.000598547,0.000129094
4581-0.0,4581,Financial situation satisfaction,0.000294938,0.000691016,0.000480154,0.000779845,0.00069268,0.000315487,0.000672476,0.000691764,0.00052608,0.000566707,0.000571115,0.000166498
400-0.1,400,Time to complete round,0.000743575,0.000479879,0.000615948,0.000524022,0.000336118,0.00044751,0.000571251,0.000646227,0.0007943,0.000535617,0.000569445,0.000137227
23115-0.0,23115,Leg fat percentage (left),0.000462323,0.000504784,0.000403806,0.000459016,0.000692345,0.000603827,0.000634287,0.000678201,0.000621365,0.000593832,0.000565378,0.000100405
2060-0.0,2060,Frequency of unenthusiasm / disinterest in last 2 weeks,6.91E-06,0.000465087,0.000246712,0.001094725,0.000314604,0.000572369,0.00062757,0.001182565,0.00043919,0.000532153,0.000548189,0.00035986
1797-0.0,1797,Father still alive,0.000772719,0.000436927,0.001218682,0.000324616,0.000552459,0.000343568,0.00060038,0.000397977,0.000637431,0.000171137,0.00054559,0.000294313
20477-0.0,20477,Ever talked to a health professional about unusual or psychotic experiences,0.000439209,0.000682492,0.000546776,0.00062209,0.000539519,0.000578908,0.000527674,0.000461746,0.000511861,0.000533457,0.000544373,7.12E-05
20022-0.0,20022,Birth weight,0.00073335,0.00042904,0.000455284,0.00066465,0.000457417,0.000400538,0.000511467,0.000673471,0.000491295,0.000478838,0.000529535,0.000116584
20456-0.0,20456,Ever addicted to illicit or recreational drugs,0.000917372,0.000435195,0.000363441,0.00054355,0.00025749,0.000587844,0.000333575,0.000561423,0.000862846,0.000396918,0.000525965,0.000219211
20023-0.0,20023,Mean time to correctly identify matches,0.000475464,0.000534826,0.000311535,0.000404944,0.0003785,0.000628751,0.000537216,0.000548097,0.000756378,0.00045577,0.000503148,0.000128666
20544-0.0-4,20544,Depression diagnosed by professional,2.40E-05,0.000730585,0.000433789,0.000735712,0.000347721,0.000611067,0.000539636,0.000398782,0.000534449,0.000581061,0.000493682,0.00020933
20519-0.0,20519,Recent feelings of tiredness or low energy,9.72E-05,0.000547613,0.000588417,0.000255677,0.000184031,0.000567551,0.001015173,0.000424875,0.000774168,0.000481738,0.000493642,0.000275397
23128-0.0,23128,Trunk fat mass,0.000582768,0.000654875,0.000562117,0.000541798,0.000348001,0.00041382,0.000343814,0.000357487,0.000413097,0.000610969,0.000482875,0.000119541
1279-0.0,1279,Exposure to tobacco smoke outside home,0.000300875,0.000365434,7.92E-05,0.000824807,0.000349672,0.000451551,0.000456378,0.000716977,0.000795946,0.000344754,0.000468561,0.000239456
20539-0.0,20539,Frequency of inability to stop worrying during worst period of anxiety,0.000627636,0.000366818,0.000430422,0.000205147,0.000566605,0.000479542,0.000648583,0.000471622,0.000300263,0.000496066,0.00045927,0.000140185
20416-0.0,20416,Frequency of consuming six or more units of alcohol,0.000532783,0.000413707,0.000814407,0.000258279,0.000443578,0.000425273,0.000632627,0.000518439,0.000376423,0.000139524,0.000455504,0.000187946
23124-0.0,23124,Arm fat mass (left),0.000849973,0.000474094,0.000263957,0.000488954,0.000144555,0.000345878,0.00041729,0.000559571,0.000411322,0.000497851,0.000445345,0.000187815
845-0.0,845,Age completed full time education,0.000272747,0.000447559,0.000607043,0.000639729,0.00022472,0.000179027,0.000434298,0.00045064,0.000410513,0.0007368,0.000440307,0.000182386
23112-0.0,23112,Leg fat mass (right),0.000417743,0.000444152,0.000173898,0.000551171,0.000360963,0.000596915,0.000262278,0.000533601,0.000481818,0.000566243,0.000438878,0.000138472
2040-0.0,2040,Risk taking,0.000451691,0.000546171,0.00025098,0.000334047,0.000171496,9.72E-05,0.000464118,0.000483664,0.001041088,0.000530941,0.00043714,0.000262457
94-0.0,94,"Diastolic blood pressure, manual reading",0.000431622,0.000463419,0.000618029,0.000499931,0.000523938,0.0004701,0.000517933,0.000391858,0.000445938,0,0.000436277,0.000165242
1239-0.0,1239,Current tobacco smoking,0.000617163,0.000571695,0.000495839,0.000605256,0.00039585,0.000243578,0.000330436,0.000703992,0.000123098,0.000262125,0.000434903,0.000192409
874-0.0,874,Duration of walks,0.000438985,0.000537287,0.000502793,0.000525797,0.000313428,0.000181652,0.000542296,0.000353576,0.000473966,0.000427522,0.00042973,0.000116296
99999996-0.0,99999996,Mania,0.000694901,0.000163605,0.00031999,0.000874133,0.000383474,0.000315198,0.000468073,0.000164519,0.000368513,0.000466122,0.000421853,0.000221658
23116-0.0,23116,Leg fat mass (left),0.000490682,0.00050045,0.000308089,0.000387232,0.00024103,0.000635525,0.000366614,0.000353173,0.000390589,0.000472537,0.000414592,0.000112643
6350-2.0,6350,Duration to complete alphanumeric path (trail #2),0.000505991,0.000525589,0.000168178,0.00020887,0.000708281,0.000313861,0.000678961,0.000251515,0.000365424,0.000334511,0.000406118,0.000189945
20548-0.0-8,20548,Manifestations of mania or irritability,0.000469927,0.00053353,0.000586512,0.000350834,0.000105383,7.15E-05,8.13E-05,0.000513544,0.000785172,0.000435081,0.00039328,0.000239959
1180-0.0,1180,Morning/evening person (chronotype),0.000567458,0.000439685,0.000284149,0.000385424,0.000320217,0.000208399,0.00025192,0.000536427,0.000707944,0.000192079,0.00038937,0.000171204
20463-0.0,20463,Ever heard an un-real voice,0.000289173,0.000367838,0.000752507,0.000247628,0.000349955,0.000324238,0.000459507,0.000677481,0.000212527,0.00016653,0.000384738,0.000193477
4620-0.0,4620,Number of depression episodes,8.18E-05,0.000300508,0.000706859,0.000209808,0.000576022,0.000121497,0.000523157,0.000331103,0.000485484,0.00046697,0.000380323,0.0002049
1289-0.0,1289,Cooked vegetable intake,0.00024752,0.000332418,0.000556198,0.000166429,0.000577636,0.000503171,0.00033227,0.000470412,0.000382815,0.000111371,0.000368024,0.000160517
99999997-0.0,99999997,Happiness and subjective well-being,0.000563239,0.00018609,0.000351657,0.000207212,0.00044453,0.000105518,0.000421572,0.000382468,0.00062053,0.000339681,0.00036225,0.000163097
1339-0.0,1339,Non-oily fish intake,0.000704468,0.00051582,0.000193242,0.000318066,0.000583213,0.000407588,0.00017252,0.000196231,0.000111175,0.000256148,0.000345847,0.000199237
3436-0.0,3436,Age started smoking in current smokers,0.000263136,0.000290206,0.000181635,0.000305919,0.000622516,0.000271035,0.000391143,0.000346239,0.000334638,0.000444864,0.000345133,0.000121388
5386-0.0,5386,Number of unenthusiastic/disinterested episodes,0.000209285,0.0003745,0.000499173,0.000351282,0.000408668,0.000237289,0.000277653,0.000207997,0.000614928,0.000241658,0.000342243,0.000135615
1845-0.0,1845,Mother's age,0.000487389,0.000230182,0.000535164,0.000405923,0.000209457,0.000247306,0.000106227,0.000298431,0.000449366,0.000324887,0.000329433,0.000137155
23107-0.0,23107,Impedance of leg (right),0.000406121,0.000333484,0.000330576,0.000256811,0.000250589,0.000395486,0.000410489,0.000369114,0.00021981,0.000310114,0.000328259,6.85E-05
1200-0.0,1200,Sleeplessness / insomnia,0.000949575,0.000171893,0.000480575,8.39E-05,0.000285222,0.000304098,0.000253803,0.000185108,0.000134351,0.000417586,0.00032661,0.000251092
23113-0.0,23113,Leg fat-free mass (right),0.000404678,0.000261941,0.000262144,0.000148288,0.000240088,0.00051622,0.000367056,0.000350569,0.000353712,0.000276812,0.000318151,0.000102403
1873-0.0,1873,Number of full brothers,0.000701264,0.000196154,0.000213899,0.000334613,0.000411856,0.00036639,0.000327251,0.000148323,0.000316366,0.000111019,0.000312713,0.000168471
3476-0.0,3476,Difficulty not smoking for 1 day,0.000133463,0.000315464,0.000383232,0.000472041,0.000345518,0.000559295,0.000228661,0.000226256,0.000157639,0.000262931,0.00030845,0.000135507
23117-0.0,23117,Leg fat-free mass (left),0.000459168,0.000320012,0.000342096,0.000213215,0.000257125,0.000396115,0.000369009,0.0002078,0.000254001,0.000246487,0.000306503,8.43E-05
20504-0.0,20504,Ongoing addiction or dependence to over-the-counter medication,0.000150516,0.000324708,0.000555704,0.000698467,3.94E-05,0.00042318,9.37E-05,0.000146742,0.000217356,0.000410868,0.000306067,0.000214732
3486-0.0,3486,Ever tried to stop smoking,5.38E-05,0.000135482,0.000141603,0.000244278,0.000743721,0.000494429,0.000302049,0.000383845,0.000163452,0.000318564,0.000298126,0.000204542
20467-0.0,20467,Frequency of unusual or psychotic experiences in past year,7.62E-05,0.000306993,0.000604279,0.000495284,0.000180385,0.000329048,0.000178739,0.000269683,0.000197425,0.000275372,0.00029134,0.000157062
23118-0.0,23118,Leg predicted mass (left),0.000483753,0.000298093,0.000248281,0.000215133,0.000215044,0.000336424,0.000315803,0.000251338,0.000237422,0.0002872,0.000288849,8.00E-05
1438-0.0,1438,Bread intake,0.0002693,0.000284421,0.000257897,0.000262331,0.000434776,0.000289253,0.000249852,0.000110331,0.000448809,0.000246935,0.00028539,9.66E-05
23119-0.0,23119,Arm fat percentage (right),0.000229672,0.000217564,0.000192886,0.000283886,0.000199331,0.000451454,0.000205242,0.000402609,0.000337179,0.000294989,0.000281481,9.07E-05
1050-0.0,1050,Time spend outdoors in summer,0.000435877,0.000235719,0.000119714,9.43E-05,0.000155231,0.000393529,0.000338517,0.000618447,0.000228924,0.000187253,0.000280751,0.000164677
1309-0.0,1309,Fresh fruit intake,0.00017214,0.000238846,0.000294184,0.000132382,0.00047883,0.000433098,0.00011521,0.000549683,0.000214905,6.51E-05,0.000269438,0.000165825
20442-0.0,20442,Lifetime number of depressed periods,0.000105352,0.000245674,9.57E-05,0.000164494,0.000133957,0.000465968,0.000673199,4.18E-05,0.000592156,0.000133739,0.000265213,0.000226778
20431-0.0,20431,Ever addicted to a behaviour or miscellanous,0.000169649,0.000236288,0.000328519,0.000269137,0.000178861,0.00034625,0.000144687,0.000263934,0.00037433,0.000310916,0.000262257,7.92E-05
21021-0.0,21021,Pulse wave Arterial Stiffness index,0.000245957,0.00022766,0.000353876,0.000185326,0.000210624,0.000527842,0.000159582,0.000211692,0.000254124,0.000244854,0.000262154,0.00010669
404-0.0,404,Duration to first press of snap-button in each round,0.000197263,0.000208831,0.000521135,0.000378498,0.000196669,0.000191757,0.000126946,0.000291483,0.000334623,0.000153507,0.000260071,0.000121591
99999993-0.0,99999993,PHQ9,0.000424803,0.000194457,0.000243828,0.000202745,0.000171099,0.000176559,0.000358449,0.000388519,0.000155851,0.000257064,0.000257337,9.82E-05
826-0.0,826,Job involves shift work,8.38E-05,0.000329037,0.000331437,0.000417624,0.000206268,0.000215524,0.000135027,0.00039745,0.000163515,0.000287358,0.000256706,0.000113079
