Pheno_code,ShapValues_cv,TotalGain_cv,TotalCover_cv,Ensemble,FieldID,Path,Category,FieldName,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Notes
20462-0.0,0.000810037,0.000734256,0.002266667,0.00127032,20462,Online follow-up > Mental health > Unusual and psychotic experiences,144,Distress caused by unusual or psychotic experiences,7801,7801,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \How distressing did you find having any of these experiences (seeing a vision
3456-0.0,0.000984357,0.000707368,0.002466667,0.001386131,3456,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,Number of cigarettes currently smoked daily (current cigarette smokers),36730,38023,Complete,Integer,cigarettes/day,Data,Primary,Unisex,4,1,"ACE touchscreen question \About how many cigarettes do you smoke on average each day? \"" The following checks were performed:  If answer   If answer > 150 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the total number of cigarettes (including both hand-rolled and manufactured cigarettes if both are smoked) For hand-rolled cigarettes:  - One ounce of tobacco makes about 30 cigarettes  - One gram of tobacco makes about 1 cigarette      ~F3456~ was collected from participants who indicated they currently smoke tobacco on most or all days"
1369-0.0,0.001648578,0.000677812,0.002844444,0.001723611,1369,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Beef intake,501606,574032,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \How often do you eat beef? (Do not count processed meats)\"" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure"
1835-0.0,0.000542486,0.000659481,0.0034,0.001533989,1835,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Mother still alive,494277,565709,Complete,Categorical single,,Data,Primary,Unisex,4,1,"ACE touchscreen question \Is your mother still alive?\"" ~F1835~ was collected from all participants except those who indicated they were adopted as a child"
1807-0.0,0.000928158,0.000657643,0.002933333,0.001506378,1807,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Father's age at death,386089,439865,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \What was his age when he died?\"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1807~ was collected from participants who indicated their father has died"
20524-0.0,0.000553778,0.000647054,0.0032,0.001466944,20524,Online follow-up > Mental health > Traumatic events,145,Sexual interference by partner or ex-partner without consent as an adult,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Since I was sixteen... A partner or ex-partner sexually interfered with me
23115-0.0,0.001564077,0.000640337,0.002644444,0.001616286,23115,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body composition by impedance,100009,Leg fat percentage (left),493012,562099,Complete,Continuous,percent,Data,Derived,Unisex,4,1,Body composition estimation by impedance measurement. Left leg fat percentage Range 1-75% in 0.1% increments.
20456-0.0,0.000845478,0.000632157,0.001644444,0.001040693,20456,Online follow-up > Mental health > Addictions,141,Ever addicted to illicit or recreational drugs,9379,9379,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Have you been addicted to Illicit or recreational drugs?\""  Question was asked when ~F20401~ was Yes."""
2966-0.0,0.000373459,0.000622913,0.003422222,0.001472865,2966,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,Age high blood pressure diagnosed,140640,154142,Complete,Integer,years,Data,Primary,Unisex,4,1,"ACE touchscreen question \What was your age when the high blood pressure was first diagnosed?\"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure"
20526-0.0,0.000588063,0.000616418,0.002177778,0.001127419,20526,Online follow-up > Mental health > Traumatic events,145,Been in serious accident believed to be life-threatening,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
